PRIOR_RATING,A,A+,A-,AA,AA+,AA-,AAA,B,B+,B-,BB,BB+,BB-,BBB,BBB+,BBB-,C,CC,CCC,CCC+,CCC-,DEFAULT,MATURE
A,2069-05-21,2048-04-27,2043-03-15,,,,,,,,,,,,2048-03-15,,,,,,,2046-03-15,2020-04-30
A+,2055-05-15,2064-08-31,,,,2053-06-24,,,,,,,,,,,,,,,,,2020-04-29
A-,2067-10-24,,2114-01-22,,,,,,,,,,,2069-11-01,2064-07-15,,,,,,,2047-12-01,2020-04-30
AA,,,,2054-09-15,,2022-12-08,,,,,,,,,,,,,,,,,2020-04-17
AA+,,,,,2057-02-06,,2039-09-30,,,,,,,,,,,,,,,,2020-03-27
AA-,2031-08-25,2045-05-01,,2030-08-15,,2110-09-30,,,,,,,,,,,,,,,,,2020-04-28
AAA,,,,,,,2064-12-01,,,,,,,,,,,,,,,,2020-04-30
B,,,,,,,,2049-06-16,2048-02-21,2025-02-01,,,,,,,,,2024-04-14,,,2016-02-01,2020-04-15
B+,,,,,,,,2026-03-09,2048-02-28,2040-02-15,2020-10-01,,2022-07-11,,,,,,,,,,2020-04-29
B-,,,,,,,,2027-01-31,2025-11-01,2041-02-01,2025-10-01,,,,,,,,2025-09-15,,2024-03-12,,2020-04-15
BB,,,,,,,,,2044-04-04,,2078-01-22,2048-03-13,2047-05-11,,,2023-04-15,,,,,,,2020-04-30
BB+,,,,,,,,,,,2039-12-15,2073-04-30,2099-09-29,2040-08-15,,2044-06-24,,,,,,,2020-04-22
BB-,,,,,,,,2027-04-01,2024-11-15,,2068-05-15,2023-03-20,2115-06-05,,,,,,,,,2019-07-30,2020-04-30
BBB,,,2065-06-01,,,,,,,,,2040-05-15,,2108-06-30,2047-09-01,2046-07-15,,,,,,,2020-04-30
BBB+,2095-12-01,,2052-09-15,,,,,,,,,2047-09-21,,2115-03-15,2111-05-23,2048-02-12,,,,,,2026-02-15,2020-04-27
BBB-,,,,,,,,,,,2025-04-30,2048-01-17,,2058-04-15,2022-11-21,2079-06-15,,,,,,2020-01-29,2020-04-15
C,,,,,,,,,,,,,,,,,2038-06-20,2022-04-01,,,2021-11-09,2039-08-15,2020-03-25
CC,,,,,,,,,,,,,,,,,,2023-03-15,,,,2019-03-15,2019-12-15
CCC,,,,,,,,,,2023-03-01,,,,,,,2022-03-27,2022-04-11,2025-02-01,,2025-04-15,2025-10-31,2020-04-15
CCC+,,,,,,,,2041-11-01,,,,,,,,,2020-05-10,,,2027-05-15,,,2020-04-01
CCC-,,,,,,,,,,,,,,,,,,,2021-05-23,,2043-11-15,2047-12-01,2020-02-15
NR,,,,,,,,,,,,,,,,,,,,,,2041-07-15,2020-04-30
