,A,A+,A-,AA,AA+,AA-,AAA,B,B+,B-,BB,BB+,BB-,BBB,BBB+,BBB-,C,CC,CCC,CCC+,CCC-,D,DEFAULT,MATURE
A,0.041,0.100,0.498,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.280
A+,0.593,0.090,0.006,0.000,0.000,0.080,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.222
A-,0.224,0.002,0.082,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.015,0.448,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226
AA,0.002,0.021,0.000,0.006,0.015,0.547,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400
AA+,0.000,0.000,0.000,0.001,0.241,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.747
AA-,0.134,0.463,0.000,0.041,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.336
AAA,0.000,0.000,0.000,0.003,0.430,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.514
B,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.058,0.325,0.318,0.007,0.004,0.033,0.004,0.003,0.003,0.000,0.007,0.009,0.049,0.007,0.003,0.001,0.168
B+,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.280,0.064,0.043,0.075,0.010,0.342,0.004,0.004,0.001,0.001,0.000,0.003,0.006,0.002,0.002,0.000,0.164
B-,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.310,0.058,0.068,0.005,0.000,0.009,0.001,0.000,0.000,0.001,0.014,0.058,0.271,0.030,0.010,0.001,0.163
BB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.064,0.004,0.077,0.377,0.275,0.004,0.001,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152
BB+,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.192,0.070,0.061,0.023,0.001,0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.282
BB-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.267,0.005,0.297,0.062,0.088,0.001,0.002,0.010,0.000,0.016,0.000,0.005,0.004,0.002,0.000,0.168
BBB,0.001,0.001,0.011,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.007,0.000,0.074,0.249,0.350,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.300
BBB+,0.032,0.001,0.271,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.213,0.043,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.384
BBB-,0.000,0.001,0.006,0.000,0.000,0.002,0.000,0.002,0.000,0.001,0.051,0.133,0.020,0.460,0.018,0.066,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.239
C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.026,0.000,0.009,0.030,0.880,0.000,0.047
CC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.004,0.000,0.002,0.000,0.000,0.000,0.000,0.138,0.015,0.029,0.052,0.069,0.621,0.006,0.060
CCC,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.010,0.000,0.015,0.000,0.004,0.001,0.003,0.000,0.001,0.056,0.156,0.037,0.197,0.295,0.110,0.000,0.114
CCC+,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.042,0.004,0.273,0.003,0.000,0.000,0.002,0.001,0.000,0.004,0.049,0.277,0.051,0.092,0.036,0.001,0.162
CCC-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.181,0.246,0.115,0.034,0.018,0.254,0.006,0.120
D,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.039,0.060,0.018,0.114,0.248,0.167,0.333
DEFAULT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
MATURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
